site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
11,1.0773333333333333,1.626666666666667,1.792,1.2693333333333336,1.616,1.5413333333333332,0.9653333333333336,1.4613333333333336,1.1946666666666668,1.1306666666666667,0,1.0826666666666667,1.354666666666667,1.6373333333333338,0.9653333333333335,1.0613333333333335,1.3706666666666667,1.0613333333333335,0.6933333333333335,0.7306666666666668,1.2853333333333337,0.8000000000000002,1.4453333333333336,1.2266666666666666,1.2213333333333334,0.9493333333333335,1.6906666666666665,1.6159999999999999,1.450666666666667,1.2160000000000002,1.7546666666666666,1.5306666666666666,0.8959999999999999,0.8106666666666666,1.3760000000000001,1.258666666666667,1.2053333333333334,1.2160000000000002,1.3173333333333332,1.5840000000000007,1.2853333333333337,0.9119999999999999,1.264,1.5093333333333336,1.4986666666666668,0.9933333333333335,1.3440000000000003,1.5733333333333337,1.6586666666666667
12,0.8426666666666667,1.4346666666666668,1.5520000000000003,1.0613333333333332,1.2106666666666666,0.9653333333333334,0.8586666666666665,1.0346666666666666,1.0133333333333334,1.4133333333333338,1.0826666666666667,0,0.8853333333333333,1.248,1.6053333333333333,1.536,1.1093333333333335,1.0186666666666666,0.6879999999999998,1.1893333333333334,0.8906666666666667,0.8960000000000001,0.7679999999999999,0.8373333333333334,0.7413333333333334,0.7786666666666667,1.5999999999999999,1.44,1.0719999999999998,0.7466666666666666,1.408,1.349333333333333,1.1786666666666665,0.8213333333333332,1.0773333333333333,1.2053333333333334,0.7093333333333333,1.0986666666666667,0.9333333333333336,1.4453333333333331,1.2,0.9973333333333334,1.1946666666666665,1.4133333333333338,1.248,0.6806666666666666,0.8426666666666668,1.4826666666666668,1.3653333333333333
13,1.3279999999999998,1.6426666666666667,1.664,1.1733333333333333,0.6986666666666667,1.4773333333333332,1.1733333333333331,1.0933333333333335,1.1893333333333334,1.5253333333333334,1.354666666666667,0.8853333333333333,0,0.7306666666666667,1.7333333333333336,1.7973333333333334,1.2960000000000003,1.1146666666666667,1.0826666666666664,1.3866666666666665,1.0080000000000002,1.1146666666666665,1.3013333333333332,1.2586666666666666,1.2746666666666666,1.0186666666666668,1.68,1.5893333333333335,1.2639999999999998,0.848,0.9226666666666667,1.424,1.248,1.1733333333333333,1.3013333333333335,1.3920000000000001,0.672,1.3333333333333335,1.2586666666666666,1.6266666666666665,1.4506666666666665,1.1733333333333336,1.3119999999999998,1.6373333333333335,1.4026666666666665,0.9777777777777776,0.9760000000000002,1.4880000000000002,1.4560000000000002
14,1.5893333333333335,1.856,1.888,1.2053333333333334,0.39999999999999997,1.6373333333333333,1.3599999999999999,1.0453333333333334,1.3653333333333333,1.7920000000000003,1.6373333333333338,1.248,0.7306666666666667,0,1.92,1.8293333333333335,1.4773333333333334,1.0186666666666668,1.456,1.5946666666666665,1.312,1.3333333333333328,1.557333333333333,1.4880000000000002,1.4773333333333334,1.3600000000000003,1.92,1.856,1.3653333333333333,0.9706666666666666,0.5279999999999999,1.6320000000000001,1.4613333333333336,1.568,1.5786666666666667,1.5893333333333333,0.8800000000000001,1.6373333333333333,1.5733333333333333,1.7919999999999998,1.5893333333333335,1.0773333333333335,1.1626666666666665,1.8773333333333335,1.5626666666666666,1.3506666666666665,1.3920000000000001,1.6799999999999997,1.6800000000000002
15,1.3333333333333335,1.578666666666667,1.7386666666666668,1.264,1.936,1.7706666666666668,1.2373333333333334,1.7493333333333336,1.3439999999999999,1.12,0.9653333333333335,1.6053333333333333,1.7333333333333336,1.92,0,0.8053333333333335,1.4880000000000002,1.1413333333333333,1.2533333333333334,1.1253333333333335,1.5093333333333334,1.3013333333333337,1.7333333333333334,1.5306666666666664,1.4933333333333332,1.232,1.6,1.4773333333333332,1.4293333333333333,1.5413333333333334,1.9200000000000002,1.6959999999999997,0.8,1.2266666666666666,1.5200000000000002,1.4133333333333333,1.6266666666666667,1.424,1.5466666666666669,1.5040000000000002,1.4453333333333331,1.1306666666666665,1.381333333333333,1.4133333333333333,1.4773333333333334,1.3633333333333337,1.562666666666667,1.7760000000000002,1.632
16,1.1786666666666665,1.4720000000000004,1.5893333333333337,1.2266666666666668,1.872,1.8080000000000003,1.381333333333333,1.6853333333333333,1.2853333333333332,1.1573333333333335,1.0613333333333335,1.536,1.7973333333333334,1.8293333333333335,0.8053333333333335,0,1.4826666666666668,1.1039999999999999,1.1946666666666665,1.1573333333333333,1.5253333333333334,1.4080000000000001,1.7386666666666666,1.610666666666667,1.5786666666666667,1.2053333333333334,1.7120000000000002,1.4453333333333334,1.4346666666666665,1.3173333333333335,1.8506666666666667,1.7066666666666666,1.2533333333333332,1.264,1.546666666666667,1.4666666666666668,1.4880000000000002,1.3333333333333335,1.4133333333333333,1.5093333333333332,1.3493333333333333,1.2213333333333334,1.381333333333333,1.4240000000000004,1.4773333333333334,1.4124444444444442,1.6533333333333335,1.8613333333333333,1.5520000000000003
17,1.3013333333333337,1.2106666666666666,1.3813333333333335,0.9919999999999999,1.5573333333333335,1.4346666666666668,0.896,0.9706666666666668,0.6293333333333334,0.9706666666666668,1.3706666666666667,1.1093333333333335,1.2960000000000003,1.4773333333333334,1.4880000000000002,1.4826666666666668,0,1.0986666666666667,1.2000000000000002,1.488,1.0826666666666667,1.2000000000000004,1.3386666666666667,1.056,1.098666666666667,0.9973333333333333,1.3386666666666667,1.0026666666666666,0.8906666666666666,1.2533333333333334,1.552,1.0613333333333335,1.1093333333333333,1.056,1.0773333333333335,1.3333333333333335,1.0026666666666666,0.9973333333333334,1.1146666666666671,0.8746666666666667,0.8533333333333332,1.0186666666666668,1.0079999999999998,1.1466666666666667,0.8266666666666668,1.0231111111111113,0.9813333333333333,1.3386666666666664,1.1466666666666667
18,1.0293333333333332,1.658666666666667,1.7493333333333336,0.6133333333333334,1.072,1.4773333333333334,0.6133333333333334,0.7733333333333333,0.7840000000000001,1.0720000000000003,1.0613333333333335,1.0186666666666666,1.1146666666666667,1.0186666666666668,1.1413333333333333,1.1039999999999999,1.0986666666666667,0,0.9386666666666668,1.0773333333333333,1.0240000000000002,0.7946666666666667,1.3546666666666665,1.072,1.0346666666666666,0.912,1.7439999999999998,1.530666666666667,1.0079999999999998,0.8693333333333332,1.1893333333333334,1.4666666666666668,0.7466666666666667,1.0186666666666664,1.2640000000000002,1.2853333333333334,1.0026666666666666,1.3066666666666669,1.2533333333333334,1.4026666666666667,1.1626666666666667,0.6240000000000001,0.864,1.418666666666667,1.264,0.864888888888889,1.1573333333333335,1.6106666666666667,1.5520000000000003
19,0.9493333333333335,1.4720000000000002,1.6426666666666665,1.1573333333333333,1.4293333333333331,1.2693333333333334,0.7893333333333332,1.248,0.9920000000000001,1.0773333333333335,0.6933333333333335,0.6879999999999998,1.0826666666666664,1.456,1.2533333333333334,1.1946666666666665,1.2000000000000002,0.9386666666666668,0,0.6080000000000002,0.8853333333333334,0.47466666666666674,1.1146666666666667,0.816,0.8266666666666667,0.688,1.5573333333333332,1.5146666666666666,1.2160000000000002,0.9226666666666665,1.6266666666666667,1.3386666666666667,1.072,0.6560000000000002,1.1466666666666667,1.1466666666666665,1.04,1.024,1.0453333333333337,1.4773333333333336,1.0826666666666669,0.9386666666666666,1.1093333333333333,1.3386666666666667,1.2960000000000003,0.5817777777777777,0.9813333333333336,1.4133333333333333,1.4720000000000006
20,1.1360000000000001,1.6160000000000003,1.8133333333333337,1.424,1.5893333333333333,1.5200000000000005,1.1306666666666667,1.4986666666666668,1.2746666666666666,1.3120000000000003,0.7306666666666668,1.1893333333333334,1.3866666666666665,1.5946666666666665,1.1253333333333335,1.1573333333333333,1.488,1.0773333333333333,0.6080000000000002,0,1.1946666666666665,0.5386666666666668,1.4559999999999997,1.2373333333333336,1.2266666666666666,0.9440000000000001,1.6533333333333333,1.584,1.5626666666666673,1.1093333333333333,1.7653333333333332,1.6693333333333338,1.248,0.7733333333333332,1.328,1.2799999999999998,1.4666666666666663,1.2853333333333332,1.3226666666666667,1.6053333333333337,1.4453333333333334,1.130666666666667,1.3226666666666669,1.5360000000000005,1.6106666666666667,0.9546666666666667,1.3439999999999996,1.5680000000000003,1.722666666666667
