site1,site2,distance
11,22,0.4
11,23,0.7226666666666667
11,24,0.6133333333333333
11,25,0.6106666666666667
11,26,0.4746666666666667
11,27,0.8453333333333334
11,28,0.808
11,29,0.7253333333333334
11,30,0.608
11,31,0.8773333333333333
11,32,0.7653333333333333
11,33,0.448
11,34,0.4053333333333333
11,35,0.688
11,36,0.6293333333333333
11,37,0.6026666666666667
11,38,0.608
11,39,0.6586666666666666
11,40,0.792
11,41,0.6426666666666667
11,42,0.456
11,43,0.632
11,44,0.7546666666666667
11,45,0.7493333333333333
11,46,0.4966532797858099
11,47,0.672
11,48,0.7866666666666666
11,49,0.8293333333333334
12,1,0.42133333333333334
12,2,0.7173333333333334
12,3,0.776
12,4,0.5306666666666666
12,5,0.6053333333333333
12,6,0.4826666666666667
12,7,0.42933333333333334
12,8,0.5173333333333333
12,9,0.5066666666666667
12,10,0.7066666666666667
12,11,0.5413333333333333
12,12,0
12,13,0.44266666666666665
12,14,0.624
12,15,0.8026666666666666
12,16,0.768
12,17,0.5546666666666666
12,18,0.5093333333333333
12,19,0.344
12,20,0.5946666666666667
12,21,0.44533333333333336
12,22,0.448
12,23,0.384
12,24,0.4186666666666667
12,25,0.37066666666666664
12,26,0.3893333333333333
12,27,0.8
12,28,0.72
12,29,0.536
12,30,0.37333333333333335
12,31,0.704
12,32,0.6746666666666666
12,33,0.5893333333333334
12,34,0.4106666666666667
12,35,0.5386666666666666
12,36,0.6026666666666667
12,37,0.3546666666666667
12,38,0.5493333333333333
12,39,0.4666666666666667
12,40,0.7226666666666667
12,41,0.6
12,42,0.49866666666666665
12,43,0.5973333333333334
12,44,0.7066666666666667
12,45,0.624
12,46,0.3413654618473896
12,47,0.42133333333333334
12,48,0.7413333333333333
12,49,0.6826666666666666
13,1,0.664
13,2,0.8213333333333334
13,3,0.832
13,4,0.5866666666666667
13,5,0.34933333333333333
13,6,0.7386666666666667
13,7,0.5866666666666667
13,8,0.5466666666666666
13,9,0.5946666666666667
13,10,0.7626666666666667
13,11,0.6773333333333333
13,12,0.44266666666666665
13,13,0
13,14,0.36533333333333334
13,15,0.8666666666666667
13,16,0.8986666666666666
13,17,0.648
13,18,0.5573333333333333
13,19,0.5413333333333333
13,20,0.6933333333333334
13,21,0.504
13,22,0.5573333333333333
13,23,0.6506666666666666
13,24,0.6293333333333333
13,25,0.6373333333333333
13,26,0.5093333333333333
13,27,0.84
13,28,0.7946666666666666
13,29,0.632
13,30,0.424
13,31,0.4613333333333333
13,32,0.712
13,33,0.624
13,34,0.5866666666666667
13,35,0.6506666666666666
13,36,0.696
13,37,0.336
13,38,0.6666666666666666
13,39,0.6293333333333333
13,40,0.8133333333333334
13,41,0.7253333333333334
13,42,0.5866666666666667
13,43,0.656
13,44,0.8186666666666667
13,45,0.7013333333333334
13,46,0.4886211512717537
13,47,0.488
13,48,0.744
13,49,0.728
14,1,0.7946666666666666
14,2,0.928
14,3,0.944
14,4,0.6026666666666667
14,5,0.2
14,6,0.8186666666666667
14,7,0.68
14,8,0.5226666666666666
14,9,0.6826666666666666
14,10,0.896
14,11,0.8186666666666667
14,12,0.624
14,13,0.36533333333333334
14,14,0
14,15,0.96
14,16,0.9146666666666666
14,17,0.7386666666666667
14,18,0.5093333333333333
14,19,0.728
14,20,0.7973333333333333
14,21,0.656
14,22,0.6666666666666666
14,23,0.7786666666666666
14,24,0.744
14,25,0.7386666666666667
14,26,0.68
14,27,0.96
14,28,0.928
14,29,0.6826666666666666
14,30,0.48533333333333334
14,31,0.264
14,32,0.816
14,33,0.7306666666666667
14,34,0.784
14,35,0.7893333333333333
14,36,0.7946666666666666
14,37,0.44
14,38,0.8186666666666667
14,39,0.7866666666666666
14,40,0.896
14,41,0.7946666666666666
14,42,0.5386666666666666
14,43,0.5813333333333334
14,44,0.9386666666666666
14,45,0.7813333333333333
14,46,0.6760374832663989
14,47,0.696
14,48,0.84
14,49,0.84
15,1,0.6666666666666666
15,2,0.7893333333333333
15,3,0.8693333333333333
15,4,0.632
15,5,0.968
15,6,0.8853333333333333
15,7,0.6186666666666667
15,8,0.8746666666666667
15,9,0.672
15,10,0.56
15,11,0.4826666666666667
15,12,0.8026666666666666
15,13,0.8666666666666667
15,14,0.96
15,15,0
15,16,0.4026666666666667
15,17,0.744
15,18,0.5706666666666667
15,19,0.6266666666666667
